pred,label,error,s3_entropy,s4_entropy,p_len,l_len
6.837072849273682,6.999566078186035,0.16249322891235352,0.525581231609594,3.487706722775301,512,51
7.663272380828857,8.214670181274414,0.5513978004455566,1.581085420419743,4.604694684971444,389,126
7.013783931732178,8.508638381958008,1.49485445022583,1.6823806286334395,4.623930394484842,371,126
3.491964340209961,3.436518907546997,0.05544543266296387,0.0696581972665093,4.2823660431942185,155,78
3.3868038654327393,3.318758726119995,0.06804513931274414,2.035776944167365,4.302927175352632,288,78
3.8245034217834473,2.9586071968078613,0.8658962249755859,0.2226023137445098,4.25772246153708,232,78
4.84013032913208,3.602059841156006,1.2380704879760742,1.4642587755302057,4.73977431772416,365,126
6.436679363250732,6.359896183013916,0.0767831802368164,0.39350396305608915,3.63239295907569,479,47
7.024597644805908,5.086180686950684,1.9384169578552246,0.05426603873825854,4.315213530684331,512,79
5.880387306213379,4.795877456665039,1.0845098495483398,0.9099525205278082,4.14072735334124,512,73
5.5576019287109375,6.221776485443115,0.6641745567321777,1.0940051648971307,3.9579473155087297,443,93
5.471184730529785,5.468508243560791,0.0026764869689941406,0.623952076444515,3.790652762490588,446,93
5.5576019287109375,4.698967933654785,0.8586339950561523,1.0940051648971307,3.9579473155087297,443,93
5.308180809020996,4.744725227355957,0.5634555816650391,0.6497549828949043,3.704215255152087,412,93
7.876120090484619,9.301030158996582,1.424910068511963,0.06407117655019942,3.4842264462421286,343,39
5.207637310028076,5.52286434173584,0.31522703170776367,0.8769935305641261,3.82925991404893,509,83
7.822463512420654,9.397939682006836,1.5754761695861816,0.21747675025277563,1.80553152465959,404,35
3.5432236194610596,3.823908567428589,0.2806849479675293,0.9956618084038257,2.076642671368748,477,9
2.8941292762756348,3.3233063220977783,0.42917704582214355,1.1713941418393945,2.577675389998952,512,16
2.8941292762756348,3.294991970062256,0.4008626937866211,1.1713941418393945,2.577675389998952,512,16
7.677640438079834,6.329902648925781,1.3477377891540527,0.7755980041738986,3.0328475855315875,418,25
7.791283130645752,7.717831134796143,0.07345199584960938,0.6352196295676855,3.095041731415689,418,28
3.745709180831909,3.632643938064575,0.11306524276733398,0.485395312474855,2.760296271346582,512,20
4.394664287567139,4.552840232849121,0.15817594528198242,0.1690879144568441,3.8238595011973944,163,53
6.719970226287842,5.7212233543396,0.9987468719482422,2.453216748399551,3.0176271804246224,309,43
7.763646602630615,5.9585676193237305,1.8050789833068848,1.0771327280948273,2.8019618767615984,512,43
7.731638431549072,8.481486320495605,0.7498478889465332,0.13719337531857392,2.6678894796312163,512,43
7.731638431549072,6.744486331939697,0.987152099609375,0.13719337531857392,2.6678894796312163,512,43
7.731638431549072,8.853872299194336,1.1222338676452637,0.13719337531857392,2.6678894796312163,512,43
7.731638431549072,7.636387825012207,0.09525060653686523,0.13719337531857392,2.6678894796312163,512,43
6.824103355407715,6.167427062988281,0.6566762924194336,0.20799661586722493,2.727319241382546,512,43
7.763646602630615,7.266802787780762,0.4968438148498535,1.0771327280948273,2.8019618767615984,512,43
7.469198703765869,7.850780963897705,0.38158226013183594,0.311378590443643,2.838888387677116,512,43
7.731638431549072,8.42021656036377,0.6885781288146973,0.13719337531857392,2.6678894796312163,512,43
7.731638431549072,6.387110233306885,1.3445281982421875,0.13719337531857392,2.6678894796312163,512,43
6.456417560577393,6.20059061050415,0.2558269500732422,1.4526803043318872,3.028428637818038,512,43
7.763646602630615,5.34677791595459,2.4168686866760254,1.0771327280948273,2.8019618767615984,512,43
7.731638431549072,7.882728576660156,0.15109014511108398,0.13719337531857392,2.6678894796312163,512,43
6.968770503997803,8.008773803710938,1.0400032997131348,0.8338865214114405,2.685635303723658,512,43
6.824103355407715,6.040910720825195,0.7831926345825195,0.20799661586722493,2.727319241382546,512,43
6.229379653930664,5.638253211975098,0.5911264419555664,0.537703742294325,2.71117303867627,512,43
6.824103355407715,5.113503456115723,1.7105998992919922,0.20799661586722493,2.727319241382546,512,43
6.229379653930664,5.585010051727295,0.6443696022033691,0.537703742294325,2.71117303867627,512,43
6.229379653930664,5.420205116271973,0.8091745376586914,0.537703742294325,2.71117303867627,512,43
6.229379653930664,5.408924102783203,0.8204555511474609,0.537703742294325,2.71117303867627,512,43
6.288710117340088,6.309715270996094,0.02100515365600586,1.5496428187446114,2.8255376402558334,512,43
7.763646602630615,5.420205116271973,2.3434414863586426,1.0771327280948273,2.8019618767615984,512,43
6.737472057342529,5.356537342071533,1.380934715270996,0.8243186059465824,3.1783358933977,512,43
6.229379653930664,5.886023044586182,0.3433566093444824,0.537703742294325,2.71117303867627,512,43
6.229379653930664,6.017683506011963,0.21169614791870117,0.537703742294325,2.71117303867627,512,43
6.824103355407715,5.3979291915893555,1.4261741638183594,0.20799661586722493,2.727319241382546,512,43
6.670049667358398,6.657380104064941,0.012669563293457031,2.0792754987960693,2.923422638705369,512,43
6.824103355407715,6.173860549926758,0.650242805480957,0.20799661586722493,2.727319241382546,512,43
6.824103355407715,5.8538408279418945,0.9702625274658203,0.20799661586722493,2.727319241382546,512,43
6.229379653930664,5.148735523223877,1.080644130706787,0.537703742294325,2.71117303867627,512,43
6.824103355407715,5.34677791595459,1.477325439453125,0.20799661586722493,2.727319241382546,512,43
7.763646602630615,7.148130416870117,0.615516185760498,1.0771327280948273,2.8019618767615984,512,43
7.763646602630615,7.345823287963867,0.41782331466674805,1.0771327280948273,2.8019618767615984,512,43
6.456417560577393,7.551293849945068,1.0948762893676758,1.4526803043318872,3.028428637818038,512,43
7.731638431549072,7.386157989501953,0.34548044204711914,0.13719337531857392,2.6678894796312163,512,43
6.229379653930664,7.821022987365723,1.5916433334350586,0.537703742294325,2.71117303867627,512,43
6.229379653930664,7.636387825012207,1.407008171081543,0.537703742294325,2.71117303867627,512,43
6.229379653930664,7.917214393615723,1.6878347396850586,0.537703742294325,2.71117303867627,512,43
6.229379653930664,7.407823085784912,1.178443431854248,0.537703742294325,2.71117303867627,512,43
6.229379653930664,7.345823287963867,1.1164436340332031,0.537703742294325,2.71117303867627,512,43
7.469198703765869,8.677781105041504,1.2085824012756348,0.311378590443643,2.838888387677116,512,43
6.229379653930664,7.583359718322754,1.3539800643920898,0.537703742294325,2.71117303867627,512,43
