compound_index,true_pkd,rf_rank,dl_rank,rf_pred,dl_pred,is_active_7,is_active_6
1872,9.876148223876953,18,397,9.156184196472168,8.213106155395508,True,True
2549,9.82361888885498,27,220,9.042686462402344,8.468755722045898,True,True
4119,9.795880317687988,92,1700,8.695694923400879,6.7232208251953125,True,True
1248,9.723538398742676,26,654,9.085700035095215,7.886192321777344,True,True
3596,9.723538398742676,8,157,9.524616241455078,8.555778503417969,True,True
3431,9.698969841003418,71,855,8.784723281860352,7.597495079040527,True,True
3481,9.698969841003418,98,423,8.676362991333008,8.181528091430664,True,True
1437,9.677781105041504,30,299,9.025115966796875,8.376740455627441,True,True
4118,9.638272285461426,25,698,9.09581470489502,7.8165154457092285,True,True
3593,9.638272285461426,7,156,9.524616241455078,8.555778503417969,True,True
3594,9.627087593078613,9,185,9.503935813903809,8.523504257202148,True,True
4117,9.602060317993164,28,272,9.026825904846191,8.397934913635254,True,True
4114,9.602060317993164,44,191,8.933151245117188,8.513721466064453,True,True
3488,9.588379859924316,83,405,8.69896411895752,8.206704139709473,True,True
3623,9.568635940551758,35,147,8.992826461791992,8.576294898986816,True,True
1461,9.522878646850586,69,144,8.790521621704102,8.580080032348633,True,True
1871,9.522878646850586,38,316,8.972040176391602,8.34305477142334,True,True
3436,9.522878646850586,60,655,8.83704662322998,7.884642601013184,True,True
3477,9.454692840576172,37,317,8.974071502685547,8.338481903076172,True,True
4116,9.387216567993164,42,377,8.957816123962402,8.240518569946289,True,True
3497,9.38090705871582,20,171,9.138031959533691,8.535215377807617,True,True
3592,9.376750946044922,6,162,9.525675773620605,8.55092716217041,True,True
4113,9.327901840209961,41,390,8.965088844299316,8.219223022460938,True,True
1870,9.301030158996582,57,253,8.84278678894043,8.42005443572998,True,True
1065,9.301030158996582,94,1744,8.68460464477539,6.696878910064697,True,True
804,9.301030158996582,16,170,9.222517967224121,8.537113189697266,True,True
805,9.301030158996582,17,110,9.187122344970703,8.631771087646484,True,True
3484,9.221125602722168,58,305,8.839935302734375,8.36217212677002,True,True
3476,9.221125602722168,100,182,8.674052238464355,8.52541732788086,True,True
3491,9.221125602722168,93,223,8.689031600952148,8.464215278625488,True,True
4115,9.214670181274414,48,383,8.925666809082031,8.23036003112793,True,True
3485,9.136082649230957,50,382,8.911151885986328,8.2326078414917,True,True
4342,9.136082649230957,99,407,8.674558639526367,8.200846672058105,True,True
2776,9.09691047668457,74,276,8.776289939880371,8.392181396484375,True,True
3124,9.09691047668457,84,114,8.697527885437012,8.621715545654297,True,True
3489,9.048662185668945,75,284,8.758030891418457,8.386759757995605,True,True
3478,9.048662185668945,34,309,9.002067565917969,8.35936450958252,True,True
3513,9.048662185668945,82,421,8.699417114257812,8.187535285949707,True,True
1935,8.920818328857422,79,434,8.722489356994629,8.170134544372559,True,True
3486,8.866460800170898,23,201,9.116942405700684,8.499127388000488,True,True
1069,8.866460800170898,77,196,8.747831344604492,8.509241104125977,True,True
3475,8.866460800170898,86,176,8.697321891784668,8.533339500427246,True,True
451,8.795880317687988,76,1157,8.750395774841309,7.1957197189331055,True,True
3480,8.774690628051758,66,120,8.793135643005371,8.610565185546875,True,True
3482,8.774690628051758,59,267,8.838008880615234,8.410143852233887,True,True
3499,8.774690628051758,72,251,8.778265953063965,8.430459976196289,True,True
3474,8.774690628051758,49,155,8.920628547668457,8.55616569519043,True,True
3479,8.774690628051758,70,122,8.785669326782227,8.606472969055176,True,True
2710,8.774690628051758,78,281,8.743575096130371,8.39057445526123,True,True
3494,8.677781105041504,65,104,8.803434371948242,8.641124725341797,True,True
317,8.677781105041504,56,167,8.87282657623291,8.545137405395508,True,True
3492,8.677781105041504,91,237,8.696439743041992,8.451066970825195,True,True
3490,8.677781105041504,32,208,9.020957946777344,8.487520217895508,True,True
3493,8.677781105041504,51,300,8.903825759887695,8.373485565185547,True,True
1874,8.638272285461426,15,313,9.239657402038574,8.34986686706543,True,True
3452,8.602060317993164,33,527,9.019180297851562,8.082843780517578,True,True
1875,8.602060317993164,12,327,9.274662971496582,8.32393741607666,True,True
2457,8.585026741027832,19,823,9.145367622375488,7.6451568603515625,True,True
3487,8.583359718322754,36,105,8.990345001220703,8.637457847595215,True,True
2613,8.568635940551758,81,189,8.700839042663574,8.516005516052246,True,True
2425,8.496209144592285,95,898,8.683914184570312,7.534578323364258,True,True
3495,8.48678207397461,62,318,8.81897258758545,8.336750030517578,True,True
3483,8.291579246520996,67,121,8.79312801361084,8.607236862182617,True,True
3496,8.19314193725586,39,145,8.969416618347168,8.580074310302734,True,True
1647,8.113509178161621,53,106,8.873147010803223,8.634870529174805,True,True
1448,8.07572078704834,54,109,8.873147010803223,8.634870529174805,True,True
1873,8.07572078704834,24,389,9.09955883026123,8.222990989685059,True,True
1450,7.995678424835205,29,298,9.025115966796875,8.376740455627441,True,True
1472,7.995678424835205,68,143,8.790521621704102,8.580080032348633,True,True
1460,7.995678424835205,55,108,8.873147010803223,8.634870529174805,True,True
1835,7.742321491241455,13,328,9.274662971496582,8.323936462402344,True,True
1456,7.742321491241455,52,107,8.873147010803223,8.634870529174805,True,True
1457,7.300162315368652,31,297,9.025115966796875,8.376740455627441,True,True
